IFDI (%),Inflation,GDP growth (%),Population,Human Capital,Infrastructure,GDP,corruption,regulation,political stability,rule of law,accountability,government,labor force,inflation -2,GDP per capita,Financial Development,Financial Insitutions,FI Deepening,High income,Low income,Lower middle income,Upper middle income,Central Asia,Eastern Asia,Southern Asia,South-Eastern Asia,Western Asia,Northern Asia
-0.3950750203,0.04225061628,1.111460951,4.401439831,-1.087211539,-1.006407517,-0.6853551932,-0.2232558444,-0.1647161225,-0.5268766174,-0.05750686807,0.8984593077,0.1408913943,-1.087211539,0.3368733667,-0.6971195028,0.7105199272,0.0126015641,0.4516065753,0,0,1,0,0,0,1,0,0,0
-0.3466407378,-0.3182130037,0.0675003573,0.565118463,0.1846693308,-0.898607429,-0.5838415303,-0.3744878668,0.2672026572,-0.3445006311,-0.2371194589,0.9771706689,0.2544048076,0.1846693308,0.1263709378,-0.5970394522,-0.1056663999,-0.2698606093,-0.4244098093,0,0,1,0,0,0,0,1,0,0
-0.5259777898,3.90374721,0.2448273534,-0.06364849625,-1.999882963,1.137313214,-0.596020486,-1.134753826,-1.925484094,-1.540909827,-1.117876313,-1.195316628,-1.197155318,-1.999882963,4.631699563,-0.5212897144,0.6555286499,0.7282426677,-0.27879231,0,0,1,0,0,0,1,0,0,0
-0.07706147726,-0.3232525846,0.9235490901,-0.3294343562,0.4949325451,1.546680635,1.744254521,1.083886093,1.309741619,-1.015826068,1.197556198,1.682080607,1.319313545,0.4949325451,-0.2206639271,1.32696026,1.052527082,1.596181473,1.430864996,1,0,0,0,0,0,0,0,1,0
-0.4874443667,-0.4992365306,-0.1319205815,0.06410867356,1.30529463,2.21531409,1.156280244,1.88965852,1.502136616,1.413240261,1.980780819,2.209016903,1.448824703,1.30529463,-0.4282562668,1.062383474,2.418143803,2.230140418,1.617702264,1,0,0,0,0,1,0,0,0,0
-0.4039703238,-0.3398165441,0.05925218451,-0.323422175,-2.292478662,-0.8692694305,-0.592681058,0.168282265,0.09226699294,-0.09940094114,0.3020891585,-0.2859720624,0.07572410826,-2.292478662,-0.2139214741,-0.5994965679,-0.13123252,0.01312854577,0.3406599092,0,0,0,1,0,0,0,0,1,0
-0.2784563034,0.3359752391,0.1716226401,-0.2962079026,1.051639579,-0.09078905073,-0.2946685487,-0.15790445,0.02688008124,-0.003383677336,-0.5522140865,-0.7429277804,-0.1184838145,1.051639579,0.8360835168,-0.2165526793,-0.1548691217,-0.02323318925,-0.4891286978,0,0,0,1,1,0,0,0,0,0
-0.2618388452,0.7259409738,0.3820992693,-0.3382248565,0.1717792554,-0.8760922208,-0.7284472761,-1.173531267,-0.7744233987,-0.2714366067,-1.281913414,-0.01733260443,-1.067761789,0.1717792554,1.020780169,-0.7403684379,-1.207903845,-1.067710853,-0.8296733258,0,0,1,0,1,0,0,0,0,0
0.1568463274,-0.09661319111,-0.1373089227,-0.3360199331,-0.4550570002,0.06613512747,-0.6714512697,-1.065296585,-1.098162785,1.06894167,-0.744188177,-1.477925337,-0.8787296078,-0.4550570002,-0.07873215625,-0.6662511829,-1.043412393,-1.136745451,-0.806559437,0,0,1,0,0,0,0,1,0,0
1.789108721,-0.4730131352,3.525926077,-0.3588199127,0.9982764696,-0.1453713736,1.402086898,1.068147014,1.967718815,1.428580297,1.041554071,0.0588266819,1.120870925,0.9982764696,-0.4899053894,1.384182989,0.4770481883,2.08522046,1.17661222,1,0,0,0,0,1,0,0,0,0
0.1210330624,-0.2256592259,-0.003175846363,-0.2475437265,0.3260094586,0.5232620814,-0.2525962042,0.3051438238,0.7543522664,0.3262566567,0.7352361084,0.5541978424,0.9673631479,0.3260094586,0.09982196922,-0.2468423753,1.643924503,1.246792628,2.089225595,0,0,0,1,0,0,0,1,0,0
1.000069525,-0.4208609674,5.993681725,-0.3593787084,-0.164804952,-0.936132776,-0.3041459937,-0.2956784192,-0.7615285976,0.8671349712,-0.1539265658,0.4682332158,0.2271145362,-0.164804952,-0.1665989449,-0.2924445312,-0.8461191257,-0.2693336277,-0.3932060594,0,0,0,1,0,0,1,0,0,0
1.255777268,0.2664660851,-0.292786108,-0.3498156557,-0.3809616015,-0.3022955518,-0.5725453219,-0.4928731151,-0.3506066621,1.061442097,-0.232669319,1.195843188,-0.7616872801,-0.3809616015,0.8799587094,-0.5858633711,-0.3757989904,0.1691151192,-0.6339757342,0,0,1,0,0,1,0,0,0,0
-0.508586827,-0.05683914068,0.2654565043,-0.2595177718,-2.141223091,-0.9531897519,-0.735077359,-0.4965227567,-0.7941649968,0.04490902931,-0.5279855471,0.6627281834,-1.249618512,-2.141223091,0.1943058533,-0.7457206451,-0.8355067739,-0.234025856,-0.1316338848,0,0,1,0,0,0,1,0,0,0
0.7082520054,-0.3058907738,-0.03897605513,-0.3458477869,0.2235198379,-0.2613588097,0.1553402751,0.2086564248,0.2991543767,0.7502098061,0.5509261477,-0.8247284953,-0.3368059857,0.2235198379,0.7255538481,0.1546038152,-0.01304951168,-0.2746034443,-0.3924355965,1,0,0,0,0,0,0,0,1,0
-0.4977190868,0.4828080058,0.5576824656,0.4218208762,-1.004552803,-1.048026538,-0.7215986862,-0.7857568509,-0.930073918,-1.687833285,-0.7376365821,-0.3536692058,-0.6699355055,-1.004552803,0.5081119754,-0.7140164655,-0.8041520982,-0.9001306829,-0.7957729556,0,0,1,0,0,0,1,0,0,0
-0.6555656013,-0.2430841585,-0.2945299078,-0.3520472755,2.027138854,-0.008915566451,2.461711328,1.027316649,0.916963696,1.206320217,1.195207513,-0.8005509441,1.112048639,2.027138854,1.600398325,2.38336154,0.6912247422,0.05265217078,0.1079800955,1,0,0,0,0,0,0,0,1,0
-0.2942486899,0.2000157781,0.4008102406,0.1286169009,0.8184463963,-0.002092776095,-0.1850406852,-0.9120116388,-0.6798234863,-0.5449437712,-1.018119011,-0.7029005011,-0.4018556412,0.8184463963,1.326903656,-0.2676438768,0.6926718811,0.729296631,-0.2834150877,0,0,0,1,0,0,0,0,0,1
-0.2362874085,-0.1664929318,0.3067845583,-0.2395026112,-0.2902803716,0.3185783707,0.3894465507,0.4601395391,0.308511666,-0.4122240503,0.3313859128,-1.375170745,0.3937969266,-0.2902803716,0.7797262797,0.2556529446,0.2686601899,-0.5950082978,-0.3947469853,1,0,0,0,0,0,0,0,1,0
3.499327492,-0.2430443972,1.111670207,-0.3426905999,1.124653293,1.219186698,3.08240358,2.578186212,2.480201573,1.898326295,2.326161121,0.5879120943,2.492559954,1.124653293,0.5077985812,2.728520228,1.53201243,1.575629188,2.804215221,1,0,0,0,0,0,0,1,0,0
-0.4207295911,-0.2235163027,0.172442226,-0.185977522,0.2541675697,1.935579685,0.9159943584,0.9745108974,1.185472253,0.9747424846,1.431559387,2.028088228,1.454118075,0.2541675697,-0.1638410757,0.9095078852,2.082889963,2.056236468,2.260268372,1,0,0,0,0,1,0,0,0,0
-0.4909638129,0.2323471638,0.1554924924,-0.2861768386,-0.9264010871,-0.2613588097,-0.6001541068,-0.2687623126,-0.5053442751,-0.1687151789,0.09849525828,0.6766974352,-0.2889303803,-0.9264010871,0.3069845111,-0.5726445801,-0.6034821738,-0.6287351245,-0.4829649942,0,0,1,0,0,0,1,0,0,0
-0.1911147372,-0.3514944517,-0.3047485743,-0.1188761478,0.8268294523,-0.6802781376,-0.4505579845,-0.4077908461,0.03429744469,-0.3867709532,0.1936788061,-0.2848975046,0.1059551417,0.8268294523,-0.2526480471,-0.4801632976,1.664666827,1.31055741,1.35882671,0,0,0,1,0,0,0,1,0,0
-0.1851200762,-0.07929695487,0.41831799,0.02417833329,-0.6704023862,-0.8392491529,-0.6263988485,-0.4662991625,0.01021954178,-0.8586759195,-0.7480202419,0.5685700534,-0.112249399,-0.6704023862,-0.2068566726,-0.6265105253,-0.03475659484,-0.4305900177,-0.221007588,0,0,1,0,0,0,0,1,0,0
0.06460589849,-0.477082223,0.1811786627,-0.3294555204,1.475930384,0.4413885971,1.364456078,1.449420506,1.087106602,0.9383809172,1.064670076,-0.8244598559,1.452471248,1.475930384,0.8283561105,1.42829729,0.4809072253,-0.4954087628,-0.1824844401,1,0,0,0,0,0,0,0,1,0
-0.1547600189,0.6193747638,0.7127934529,-0.2430056019,-0.5618733595,0.02519838533,-0.6978616391,-0.8081109055,-0.74041764,-0.0280413652,-1.0633621,-1.101024178,-0.4673758187,-0.5618733595,0.8015027018,-0.6250502633,-0.4838520266,0.2587020025,-0.7252755948,0,0,1,0,1,0,0,0,0,0
-0.5173918882,-0.353408125,-1.833747067,-0.3516501364,0.5591125011,-0.1112574218,-0.575481175,0.1338387727,0.2114012614,-0.6173260162,-0.07926310756,0.8396272665,-0.5125459231,0.5591125011,-0.2494693342,-0.5780929038,-0.5861165073,0.1912483492,-0.3566090689,0,0,0,1,0,0,0,0,1,0
-0.4239912023,-0.1971244491,-1.328045141,-0.3269923667,0.6440247462,-0.01573835681,-0.5889229746,-1.090730024,-0.4444077815,-0.708911714,-0.8268866101,-1.294310268,-0.3372765076,0.6440247462,-1.073481267,-0.5349266152,-0.6242244977,-0.9491399779,-0.7618725854,0,0,0,1,0,0,0,0,1,0
-0.1968515633,-0.7096188375,-1.38813648,-0.3561439802,0.640959973,0.1411858214,0.3464637042,0.03096450104,0.6406954356,-0.4338137309,0.6393108706,-1.175840267,0.305456436,0.640959973,-0.9544899538,0.3763327272,0.1842437553,-0.6624619511,0.2247052338,1,0,0,0,0,0,0,0,1,0
-0.5245468062,0.09874011847,0.0230509018,0.2053364799,-0.5234735544,-1.063718956,-0.6861546029,-1.007016371,-1.095081727,-0.7811803291,-0.6256413948,-0.2574962798,-1.071408334,-0.5234735544,-0.06729774383,-0.7169791317,-0.692240025,-0.9243718396,-0.6728841136,0,0,1,0,0,0,1,0,0,0
-0.5917514681,0.09251152466,-2.360095582,-0.3585292679,0.3555755058,-0.917028963,-0.6399985943,1.983294637,-0.4384738907,1.410967663,0.792469852,0.9797227438,0.199118482,0.3555755058,0.06220570719,-0.6396653361,-0.81476445,-0.2724955177,-0.5006856422,0,0,1,0,0,0,1,0,0,0
0.03014626655,-0.2798388692,-0.3805341112,-0.3596484867,0.1369850658,0.4618569682,0.5289384749,1.561304831,0.971623959,1.609365465,1.185936388,-0.4742883224,1.473174213,0.1369850658,-1.383992273,0.7859071977,-0.2547217043,0.08110918079,-0.5087755033,1,0,0,0,0,0,0,1,0,0
1.228936657,-0.1789072935,-1.118091651,-0.3056632598,1.108067462,-1.098515186,-0.718101161,-1.311989544,-0.8153900676,0.02184216002,-1.114785938,-1.045818769,-0.6854627289,1.108067462,-0.4713972214,-0.7268758526,-0.8991808845,-0.374729961,0.0367122718,0,0,1,0,0,0,0,1,0,0
-0.3549816962,-0.2314811562,-0.1878442394,4.41340465,0.7330834492,-0.2477132289,-0.2879547727,0.05674009461,-0.2921806607,-0.2781407707,-0.05008996824,-1.45173299,0.6035320728,0.7330834492,-0.3671354373,-0.2597546099,1.389228061,0.8178295511,0.8125684717,0,0,0,1,0,1,0,0,0,0
-0.1292214738,0.04942273148,-1.67514848,-0.3485470424,0.2273057342,-0.4251057782,-0.5854671937,0.8230507724,1.081515051,-0.2287117651,0.3510406974,0.8510444434,0.6891670623,0.2273057342,0.2019347643,-0.5570437866,-0.3507152498,0.6223193527,-0.3150040691,0,0,0,1,0,0,0,0,1,0
3.812480847,-0.4503526612,-1.719493307,-0.3358306464,0.5770504382,2.433643381,1.451007934,1.98181197,1.975022065,0.3238704289,1.992771474,0.8045698172,1.749723472,0.5770504382,-0.354080329,1.362347437,1.93238752,1.780098075,2.804215221,1,0,0,0,0,1,0,0,0,0
-0.2669310841,0.1928472232,-1.585726429,4.363622696,-1.167887186,-1.023464493,-0.701654808,-0.1963397378,-0.2076227173,-0.6962987953,0.005042320468,0.9458741721,0.2868708202,-1.167887186,0.01989748579,-0.7054675611,0.7356036678,0.001007967428,0.4781875474,0,0,1,0,0,0,1,0,0,0
-0.3437143119,-0.2817921415,-0.9383930876,0.5587058606,0.3169954199,-0.8808681741,-0.6052062717,-0.3801904317,0.1857257725,-0.2658687417,-0.3716125757,0.9093392058,0.2191156636,0.3169954199,-0.4472031867,-0.6029259291,-0.104219261,-0.2967366743,-0.4810388368,0,0,1,0,0,0,0,1,0,0
-0.5049642469,2.612308032,0.002526378803,-0.0657911012,-1.979421095,1.144136004,-0.6611834457,-1.129051261,-1.75648232,-1.67135695,-1.019478776,-1.206330845,-1.350663094,-1.979421095,3.552307147,-0.5319256098,0.6280330112,0.7282426677,-0.27879231,0,0,1,0,0,0,1,0,0,0
0.07698197281,-0.5376984291,-0.9020871769,-0.3299632073,0.4826734523,1.492098312,1.389514883,0.750057941,1.34762723,-0.7493639577,1.233528162,1.651455708,1.083817323,0.4826734523,-0.3179862675,1.191517818,1.011524814,1.523984985,1.371154117,1,0,0,0,0,0,0,0,1,0
-0.4175453303,-0.4782062138,-1.301382442,0.06606913447,1.274376477,2.228959671,1.155414585,1.807313482,1.476232901,1.42539866,1.898082386,2.096994249,1.666323461,1.274376477,-0.3269403884,1.007571545,2.638591292,2.650671788,2.353879622,1,0,0,0,0,1,0,0,0,0
-0.3528416667,-0.4420425232,-0.7705174861,-0.3241650603,-2.172682086,-0.8754099418,-0.600186494,0.1817403183,0.2273771211,-0.04497222,0.3096296733,-0.2274086606,-0.04237689383,-2.172682086,-0.4746475673,-0.6026838172,-0.1616224365,-0.01690940925,0.334881437,0,0,0,1,0,0,0,0,1,0
-0.03413196946,0.2024074746,-1.014161187,-0.2976820877,1.005036999,-0.03620672788,-0.3506482653,-0.2932833419,0.06008704686,-0.03326834051,-0.5002957877,-0.8100876449,-0.02943754101,1.005036999,-0.03418540463,-0.2276145099,-0.1611400568,-0.1228327243,-0.5133982811,0,0,0,1,1,0,0,0,0,0
-0.6440532739,-0.2635471414,-1.497891236,-0.3463892486,0.462121444,-0.2135992772,0.4060477276,0.03313147572,0.251455024,0.515336807,0.4582148999,-0.1352653265,-0.3837405473,0.462121444,-1.974677722,0.5225257533,0.09548590416,0.3409111426,0.008205142312,1,0,0,0,0,0,0,0,1,0
-1.203000622,0.1627674728,-1.824853688,-0.3388795763,0.1436554545,-0.8433428271,-0.7337361363,-1.14479034,-0.5746110385,-0.2589373179,-1.109964953,0.0002632800673,-0.8323831986,0.1436554545,0.06693348304,-0.7418220535,-1.210798123,-1.074034633,-0.8015514278,0,0,1,0,1,0,0,0,0,0
0.08010177488,0.03949159912,-0.4904981231,-0.3363774338,-0.4368486419,0.1480086118,-0.6686391441,-1.096888794,-1.020337526,1.047920139,-1.012679951,-1.631587107,-1.022474055,-0.4368486419,0.03956073536,-0.6676677271,-1.025081967,-1.134110543,-0.8185016129,0,0,1,0,0,0,0,1,0,0
-0.4220703325,-0.5906171379,-1.529767895,-0.2488087769,0.2789561763,0.3799834839,-0.299858226,0.3990080428,0.6996920034,0.4009114997,0.7836931872,0.5674954955,1.048528179,0.2789561763,-0.4844791921,-0.2584734655,1.668525864,1.264183023,2.15818203,0,0,0,1,0,0,0,1,0,0
0.9532080348,-0.6139401882,-6.316846955,-0.3594024576,-0.3660884376,-0.9238517533,-0.443431559,-0.2494876431,-0.7326579367,0.6719188064,-0.2990505724,0.3419726706,-0.308221779,-0.3660884376,-0.7125675145,-0.4263757679,-0.8986985049,-0.3900124294,-0.2310236065,0,0,0,1,0,0,1,0,0,0
1.087591575,-0.09253344625,-1.373000298,-0.3499964971,-0.1830133103,-0.4387513589,-0.5981162811,-0.4262671565,-0.1852565136,1.075077685,-0.2549200184,1.281942134,-0.6485267581,-0.1830133103,-0.07933208236,-0.5858936814,-0.2561688431,0.2613369109,-0.6455326786,0,0,1,0,0,1,0,0,0,0
-0.5283111955,0.03427269374,-0.9914220378,-0.2618401219,-2.155825834,-0.9497783567,-0.7394711874,-0.5446524049,-0.899948011,0.05468120054,-0.5565406114,0.663399782,-1.313491863,-2.155825834,-0.1231445961,-0.7470178888,-0.8861566346,-0.3420570977,-0.2618421249,0,0,1,0,0,0,1,0,0,0
-0.2521313619,-0.5167031875,-1.16756325,-0.3457702086,0.2084663932,-0.2135992772,0.01886319671,0.3693547051,0.4461322865,0.7363469586,0.8090342616,-0.7613295832,-0.03108436773,0.2084663932,-1.376820022,0.1212927991,-0.04343942811,-0.2234862227,-0.3053732821,1,0,0,0,0,0,0,0,1,0
-0.4888624586,0.5074139763,-0.8003887758,0.4075917156,-1.106501582,-1.037792352,-0.7305512204,-0.8394750127,-0.933725543,-1.777487275,-0.8043886806,-0.4026959069,-0.8256782613,-1.106501582,0.479208073,-0.7177863713,-0.8162115889,-0.9259527846,-0.7938467982,0,0,1,0,0,0,1,0,0,0
-0.7944225769,-0.7320876458,-1.198585448,-0.3518031513,2.013347375,-0.01573835681,1.753321553,0.998005465,0.8995043636,1.020194444,1.285817305,-0.9531381562,0.8658480435,2.013347375,-1.76334256,2.250523002,0.7934892229,0.1074582641,0.1218484288,1,0,0,0,0,0,0,0,1,0
-0.4952825471,-0.1343586006,-1.040963389,0.130303222,0.7231680065,0.08660349855,-0.3025868143,-0.9228465122,-0.6130672151,-0.4989236625,-0.9189797829,-0.6640820995,-0.284695683,0.7231680065,-0.3308085687,-0.29762133,0.7052137513,0.7493219344,-0.2568341156,0,0,0,1,0,0,0,0,0,1
-0.5486672594,-0.1279191184,-1.202753129,-0.2393445616,-0.4280148839,0.1480086118,0.1986235048,0.4123520448,0.2236113828,-0.4797202097,0.3420168026,-1.386856561,-0.0200271026,-0.4280148839,-1.233634674,0.203354876,0.3361933375,-0.5470529661,-0.3704774021,1,0,0,0,0,0,0,0,1,0
2.400899329,-0.4940448739,-1.253026876,-0.3419047975,1.005577841,1.171427165,2.199071411,2.553665183,2.455553104,1.893894729,2.345445061,0.5004699508,2.533142469,1.005577841,-0.6295896759,2.285380067,1.560472828,1.561927665,2.804215221,1,0,0,0,0,0,0,1,0,0
-0.5084192343,-0.4214526093,-0.7019164042,-0.1857518382,0.2079255508,2.01745317,0.7501754998,0.9342507889,1.108674013,0.9509938359,1.494603036,1.880336527,1.45776462,0.2079255508,-0.2712188939,0.8368406931,2.175024472,2.068884028,2.286464113,1,0,0,0,0,1,0,0,0,0
-0.51075264,0.1454595107,-1.384631442,-0.2869787434,-0.9917528681,-0.3295867132,-0.6076146617,-0.2392230262,-0.3187690558,0.1580844077,0.06697343402,0.7062477756,-0.2470539293,-0.9917528681,-0.1332717068,-0.57946921,-0.6652267659,-0.6513953361,-0.4791126794,0,0,1,0,0,0,1,0,0,0
-0.7045800123,-0.5610671709,-1.633210096,-0.1193005787,0.8092520767,-0.6447996277,-0.4539025026,-0.4138355649,0.01170301447,-0.3976794234,0.2119738256,-0.3125673687,0.08337008947,0.8092520767,-0.5275306055,-0.4845506413,1.710010512,1.347973108,1.35112208,0,0,0,1,0,0,0,1,0,0
-0.3340068286,-0.2341316349,-2.238012162,0.01846230537,-0.8332860667,-0.8331086416,-0.6379000275,-0.4445153644,0.06818909002,-0.6253937389,-0.7281182274,0.6335808022,-0.07401949299,-0.8332860667,-0.2634467169,-0.6334231228,-0.04054515035,-0.4795993127,-0.2429657824,0,0,1,0,0,0,0,1,0,0
0.1563822246,-0.6855659316,-1.442630222,-0.3297189512,1.536234303,0.5983127753,1.037946591,1.372321828,1.164931862,0.9326994223,1.159606393,-0.8063266924,1.358131603,1.536234303,-1.488531634,1.353205787,0.4857310215,-0.4716945877,-0.08463564427,1,0,0,0,0,0,0,0,1,0
-0.2071778503,0.8231091964,-0.2302185732,-0.2453167456,-0.5900873008,-0.008915566451,-0.7092654181,-1.085825818,-1.201207081,-0.2367794878,-1.299095899,-1.281146934,-0.8789648688,-0.5900873008,0.6133318504,-0.6338660339,-0.4901229617,0.2160164875,-0.7260460578,0,0,1,0,1,0,0,0,0,0
-0.4821974269,-0.3299903251,0.7470765559,-0.3515994032,0.6003066582,-0.05667509895,-0.5597655998,-0.1211799318,0.2158516795,-0.2178032948,-0.1430484461,0.8497012461,-0.4200883656,0.6003066582,-0.3158193702,-0.5621376625,-0.5875636462,0.1211597875,-0.4883582349,0,0,0,1,0,0,0,0,1,0
-0.1746777635,-0.2121876133,-0.142261314,-0.3272252845,0.7180300044,0.004730014262,-0.5608738049,-0.8310352166,-0.3164867902,-0.528467436,-0.6779305385,-1.277251662,-0.3049281256,0.7180300044,-0.4328407767,-0.5211073727,-0.581292711,-0.8353119379,-0.7838307797,0,0,0,1,0,0,0,0,1,0
-0.2630377774,-0.3741617599,-0.2003298455,-0.3560874104,0.7204637949,0.134363031,0.4651170204,0.09426297197,0.4776275528,-0.4527899239,0.6501889904,-1.142797614,0.1343040874,0.7204637949,-0.4037757001,0.41983173,0.1977503849,-0.7088363378,0.09873454002,1,0,0,0,0,0,0,0,1,0
-0.5071042764,0.08873973645,0.7962342707,0.1988917066,-0.4771413951,-1.060989839,-0.6915969231,-1.022185194,-1.130456845,-0.795724956,-0.7202068675,-0.2201553952,-1.040824409,-0.4771413951,-0.08368378513,-0.7188256751,-0.6734272196,-0.9349114729,-0.6736545766,0,0,1,0,0,0,1,0,0,0
-0.5158190954,-0.2004935374,0.425362941,-0.3585463448,0.2211761878,-0.9286277066,-0.6213301418,1.930945091,-0.4713385165,1.47005521,0.7993922919,0.8756249538,0.1417148076,0.2211761878,-0.1329404044,-0.620226655,-0.7911278483,-0.221378296,-0.5569294382,0,0,1,0,0,0,1,0,0,0
-0.2198762182,-0.5151002685,0.09648230906,-0.3596609281,0.1591596011,0.2162365153,0.702781421,1.014314801,0.652106764,1.521870443,0.8021118218,-0.5235836629,1.350250361,0.1591596011,-0.7097827829,0.7812938833,-0.2783583059,0.04105857411,-0.571183003,1,0,0,0,0,0,0,1,0,0
1.166089405,-0.2796112586,0.6518825278,-0.3063031392,1.162512256,-1.097832907,-0.713548081,-1.371410271,-0.7561652732,0.1736517037,-1.104031434,-0.8623380194,-0.8877871548,1.162512256,-0.1215328543,-0.7236533213,-0.972020208,-0.5312435161,-0.05112050554,0,0,1,0,0,0,0,1,0,0
-0.4081601406,-0.1830517457,0.459436788,4.402052791,0.8320575948,-0.2067764868,-0.3008560061,-0.2185797411,-0.4082338705,-0.03576819826,-0.2479975786,-1.409556595,0.486725006,0.8320575948,-0.2960218089,-0.2703271667,1.180840063,0.8030740644,0.6916057871,0,0,0,1,0,1,0,0,0,0
-2.097120425,-0.3789063993,3.504372713,-0.3568106473,0.06288966715,-1.11011393,-0.7178494826,-0.3191729868,-0.9457074379,0.5355629288,-1.318503454,1.254943868,-1.163630631,0.06288966715,0.02519832538,-0.72038353,-1.39506714,-1.429220276,-0.9498655474,0,0,1,0,0,0,0,1,0,0
0.4345473868,0.01413954052,0.3600750785,-0.3485556874,0.2033283911,-0.1863081157,-0.5640141415,0.9547800227,1.110385712,-0.3066618751,0.3837986716,1.001751179,0.7470412586,0.2033283911,-0.05345467287,-0.5405477805,-0.3627747405,0.6065099026,-0.4471384666,0,0,0,1,0,0,0,0,1,0
1.492908009,-0.1846692775,-0.8698443196,-0.3357396285,0.6200474031,2.549630817,1.560593712,2.022756386,2.193320777,-0.0000884102947,2.011560953,0.9482919272,1.853826446,0.6200474031,-0.2281227099,1.505497858,1.81565165,1.759018808,2.690571935,1,0,0,0,0,1,0,0,0,0
-0.3470403819,-0.0992490475,0.096883383,4.318705618,-1.102895966,-1.01800626,-0.6950978823,-0.2069465086,-0.232841753,-0.6459607505,-0.005959414274,1.136339548,-0.0003828124105,-1.102895966,-0.1958431039,-0.6986984445,0.3921493741,-0.1349533026,0.2940469002,0,0,1,0,0,0,1,0,0,0
-0.2892080179,-0.1697938032,0.2970541557,0.5510079403,0.4010964015,-0.878821337,-0.5927556034,-0.4019742298,-0.02789429506,-0.311207071,-0.3522050212,0.9525901585,0.009027626003,0.4010964015,-0.2681028598,-0.5970673262,-0.1293030015,-0.230863966,-0.4814240682,0,0,1,0,0,0,0,1,0,0
-0.5085997188,3.552327977,-1.1136624,-0.06824753851,-1.735681487,1.150958794,-0.6353510223,-1.084115049,-1.707071268,-1.685333427,-0.8764562239,-1.085980368,-0.8594382091,-1.735681487,2.322897389,-0.5383928965,0.2966382082,0.5654053326,-0.2999800414,0,0,1,0,0,0,1,0,0,0
